@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,0.001272,'critical/other existing credit','new car',0.999955,'no known savings',<1,0.000212,'male single',none,0.000636,'real estate',0.00933,none,own,0.000424,'unskilled resident',0.000424,none,yes,good
<0,0.002478,'critical/other existing credit','new car',0.999957,<100,>=7,0.000619,'male single','co applicant',0.000826,'life insurance',0.008878,none,rent,0.000413,skilled,0.000206,yes,yes,bad
>=200,0.002835,'existing paid',furniture/equipment,0.999807,<100,1<=X<4,0.000945,'male single',none,0.000945,'real estate',0.019372,none,own,0.000472,skilled,0.000472,yes,yes,good
0<=X<200,0.009481,'critical/other existing credit',radio/tv,0.999941,<100,<1,0.000843,'male single',none,0.000421,'life insurance',0.005267,none,own,0.000421,'unskilled resident',0.000211,none,yes,bad
<0,0.008114,'critical/other existing credit','used car',0.999738,<100,>=7,0.001352,'male single',none,0.001352,'life insurance',0.0213,none,own,0.000676,skilled,0.000338,yes,yes,good
<0,0.005854,'existing paid',radio/tv,0.999974,'no known savings',4<=X<7,0.000558,'female div/dep/mar',none,0.000418,car,0.004182,none,own,0.000139,'high qualif/self emp/mgmt',0.000139,yes,yes,bad
'no checking',0.001522,'critical/other existing credit','new car',0.999984,<100,1<=X<4,0.000138,'male single',none,0.000553,'life insurance',0.005396,none,own,0.000277,'unskilled resident',0.000138,none,yes,good
0<=X<200,0.010875,'existing paid',radio/tv,0.999583,<100,4<=X<7,0.003625,'male single',guarantor,0.002719,'real estate',0.026281,none,own,0.001812,skilled,0.000906,none,no,good
'no checking',0.013195,'delayed previously',furniture/equipment,0.999679,100<=X<500,4<=X<7,0.002513,'male single',none,0.001885,'real estate',0.021363,none,own,0.001257,'high qualif/self emp/mgmt',0.000628,none,yes,good
'no checking',0.015615,'delayed previously',furniture/equipment,0.99938,>=1000,4<=X<7,0.003123,'female div/dep/mar',none,0.002082,'life insurance',0.031231,none,own,0.002082,skilled,0.001041,none,yes,good
'no checking',0.008082,'delayed previously',radio/tv,0.999937,<100,1<=X<4,0.000898,'female div/dep/mar',none,0.000898,'real estate',0.007633,none,own,0.000449,skilled,0.000225,none,yes,good
0<=X<200,0.005701,'existing paid',repairs,0.999938,100<=X<500,1<=X<4,0.00114,'female div/dep/mar',none,0.00076,'real estate',0.009501,none,own,0.00038,'unskilled resident',0.00038,none,yes,good
0<=X<200,0.006331,'delayed previously',other,0.999971,100<=X<500,unemployed,0.000264,'male single',none,0.000528,'no known property',0.004089,none,'for free',0.000132,'high qualif/self emp/mgmt',0.000132,yes,yes,good
<0,0.006702,'critical/other existing credit',furniture/equipment,0.999964,<100,1<=X<4,0.000559,'male single',guarantor,0.000372,'life insurance',0.005213,none,own,0.000372,skilled,0.000186,none,yes,good
'no checking',0.007245,'critical/other existing credit',radio/tv,0.999245,<100,>=7,0.001208,'male single',none,0.002415,'real estate',0.038038,none,own,0.001208,'unskilled resident',0.000604,yes,yes,good
'no checking',0.005419,'critical/other existing credit','used car',0.999977,'no known savings',4<=X<7,0.000226,'male single',none,0.000113,'no known property',0.003951,none,'for free',0.000226,skilled,0.000113,yes,yes,good
<0,0.006858,'existing paid',radio/tv,0.999965,<100,4<=X<7,0.000143,'male mar/wid',guarantor,0.000143,'real estate',0.004858,none,own,0.000286,skilled,0.000143,yes,yes,bad
'no checking',0.010011,'existing paid',radio/tv,0.999842,500<=X<1000,>=7,0.001251,'male single',none,0.000834,car,0.014599,bank,own,0.000834,skilled,0.000417,yes,yes,bad
'no checking',0.010506,'existing paid',radio/tv,0.999868,<100,4<=X<7,0.001751,'male single',none,0.000876,car,0.012258,none,own,0.000438,skilled,0.000438,yes,yes,good
'no checking',0.004001,'existing paid','used car',0.99998,'no known savings',1<=X<4,0.000191,'male single',none,0.000572,car,0.004954,none,own,0.000191,skilled,0.000191,none,yes,good
0<=X<200,0.008088,'delayed previously',radio/tv,0.999961,'no known savings',1<=X<4,0.000135,'male single',none,0.000135,'real estate',0.00364,none,own,0.000135,'unskilled resident',0.000135,none,yes,good
>=200,0.007623,'critical/other existing credit',radio/tv,0.999922,'no known savings',1<=X<4,0.000953,'male single',none,0.000635,car,0.009847,none,own,0.000635,skilled,0.000318,yes,yes,good
<0,0.018203,'existing paid',education,0.999625,'no known savings',>=7,0.002023,'male single',none,0.002023,'no known property',0.020225,none,own,0.000506,'high qualif/self emp/mgmt',0.000506,yes,yes,bad
0<=X<200,0.002854,'existing paid',education,0.999989,100<=X<500,1<=X<4,0.000079,'male single',none,0.000317,'no known property',0.003727,none,'for free',0.000079,skilled,0.000159,yes,yes,bad
0<=X<200,0.002875,'existing paid','new car',0.999986,<100,4<=X<7,0.000479,'male single',none,0.000479,'real estate',0.004473,none,rent,0.00016,'unskilled resident',0.00016,none,yes,good
0<=X<200,0.00645,'critical/other existing credit','used car',0.999809,<100,unemployed,0.00215,'male single',none,0.001075,car,0.018276,none,own,0.001075,'high qualif/self emp/mgmt',0.000538,yes,yes,good
0<=X<200,0.009912,'delayed previously',repairs,0.999133,>=1000,1<=X<4,0.001982,'male mar/wid',none,0.001982,'life insurance',0.040309,stores,own,0.001322,skilled,0.000661,none,yes,bad
'no checking',0.015179,'existing paid','used car',0.999839,500<=X<1000,1<=X<4,0.001557,'male single',none,0.001557,car,0.009341,none,own,0.000389,skilled,0.000389,none,yes,good
'no checking',0.007682,'existing paid','used car',0.999947,<100,1<=X<4,0.000427,'male single',none,0.000427,'no known property',0.006828,none,'for free',0.000213,'high qualif/self emp/mgmt',0.000213,yes,yes,good
0<=X<200,0.006477,'existing paid','used car',0.99995,<100,1<=X<4,0.00036,'male mar/wid',none,0.001079,car,0.007556,none,rent,0.00036,skilled,0.00036,yes,yes,good
<0,0.009833,'critical/other existing credit','new car',0.998071,<100,4<=X<7,0.006555,'female div/dep/mar',none,0.004917,'life insurance',0.060638,none,own,0.003278,skilled,0.001639,none,no,good
'no checking',0.006435,'delayed previously',radio/tv,0.999639,<100,1<=X<4,0.003218,'female div/dep/mar',none,0.002145,'real estate',0.025742,none,own,0.001073,skilled,0.001073,none,yes,good
<0,0.008474,'critical/other existing credit',furniture/equipment,0.999896,<100,1<=X<4,0.001883,'female div/dep/mar',none,0.001883,'real estate',0.011298,none,rent,0.000942,skilled,0.000471,none,yes,bad
<0,0.005973,'existing paid','new car',0.999939,<100,unemployed,0.000398,'female div/dep/mar',none,0.001593,car,0.009159,none,rent,0.000398,skilled,0.000398,none,yes,good
>=200,0.006446,'existing paid',radio/tv,0.99992,<100,<1,0.000859,'female div/dep/mar',none,0.001289,'real estate',0.010743,none,own,0.00043,'unskilled resident',0.00043,none,yes,bad
<0,0.023977,'existing paid',education,0.999048,<100,unemployed,0.005328,'female div/dep/mar',none,0.001332,'real estate',0.035966,none,own,0.001332,'unemp/unskilled non res',0.001332,none,yes,bad
'no checking',0.005798,'critical/other existing credit',business,0.999961,100<=X<500,1<=X<4,0.000725,'male single',none,0.000725,'life insurance',0.006523,none,own,0.000483,'unskilled resident',0.000242,yes,yes,good
'no checking',0.005265,'existing paid',radio/tv,0.999851,'no known savings',1<=X<4,0.001755,'male single',none,0.001755,'no known property',0.016233,none,'for free',0.000439,skilled,0.000439,yes,yes,good
0<=X<200,0.006208,'delayed previously','new car',0.999869,'no known savings',>=7,0.00138,'male single',none,0.00138,car,0.014831,none,own,0.000345,skilled,0.00069,none,yes,good
'no checking',0.003366,'critical/other existing credit',education,0.99994,'no known savings',<1,0.000561,'male single',none,0.00028,'life insurance',0.010378,none,own,0.000561,'unskilled resident',0.000561,none,yes,good
'no checking',0.004216,'critical/other existing credit','new car',0.999734,<100,1<=X<4,0.001874,'male single',none,0.001874,car,0.022487,none,own,0.001405,skilled,0.000468,yes,yes,good
'no checking',0.001183,'critical/other existing credit','new car',0.999939,<100,4<=X<7,0.000296,'female div/dep/mar',none,0.000296,'real estate',0.010946,none,own,0.000296,skilled,0.000592,none,yes,good
'no checking',0.005443,'critical/other existing credit','new car',0.999972,<100,>=7,0.000605,'male single',none,0.000605,car,0.00514,none,own,0.000302,'high qualif/self emp/mgmt',0.000151,yes,yes,good
<0,0.012077,'existing paid',radio/tv,0.999868,<100,1<=X<4,0.001006,'male single',none,0.002013,'real estate',0.010567,none,rent,0.000503,'unskilled resident',0.001006,none,yes,bad
'no checking',0.005147,'critical/other existing credit',radio/tv,0.999764,'no known savings',>=7,0.000429,'male single','co applicant',0.001716,'real estate',0.021016,none,own,0.000429,skilled,0.000429,yes,yes,good
>=200,0.0092,'existing paid',radio/tv,0.99994,<100,1<=X<4,0.000511,'male single',none,0.000511,'real estate',0.005877,none,own,0.000256,skilled,0.000256,yes,yes,good
>=200,0.004658,'existing paid',radio/tv,0.999977,<100,4<=X<7,0.000776,'male single',none,0.000388,car,0.004852,bank,own,0.000194,skilled,0.000194,none,yes,good
0<=X<200,0.017036,'critical/other existing credit','new car',0.999441,<100,>=7,0.002839,'male single',guarantor,0.002839,'real estate',0.028393,bank,own,0.001893,skilled,0.000946,none,yes,bad
<0,0.004654,'existing paid',furniture/equipment,0.99976,<100,unemployed,0.001163,'female div/dep/mar',none,0.001551,'no known property',0.021329,none,'for free',0.000388,'high qualif/self emp/mgmt',0.000388,none,yes,good
'no checking',0.017496,'critical/other existing credit','new car',0.99922,<100,1<=X<4,0.003888,'female div/dep/mar',none,0.002916,'real estate',0.034992,none,own,0.001944,skilled,0.000972,none,yes,good
'no checking',0.008486,'existing paid','used car',0.999204,>=1000,4<=X<7,0.002121,'male single',none,0.001414,'life insurance',0.038893,none,own,0.000707,skilled,0.000707,none,no,good
'no checking',0.01669,'critical/other existing credit',radio/tv,0.997201,<100,>=7,0.005563,'male single',none,0.005563,'real estate',0.072321,none,own,0.004172,skilled,0.001391,none,yes,good
'no checking',0.008496,'critical/other existing credit',business,0.999747,<100,1<=X<4,0.002832,'female div/dep/mar',guarantor,0.001416,'real estate',0.020533,none,own,0.001416,'high qualif/self emp/mgmt',0.000708,yes,yes,good
<0,0.004984,'existing paid','new car',0.999344,100<=X<500,>=7,0.002492,'male single',none,0.001661,'life insurance',0.035721,none,own,0.000831,skilled,0.000831,yes,yes,good
<0,0.008486,'all paid',furniture/equipment,0.999932,500<=X<1000,1<=X<4,0.001414,'male single',none,0.001414,'real estate',0.007779,stores,own,0.000354,skilled,0.000354,yes,yes,good
0<=X<200,0.004277,'existing paid','new car',0.999989,<100,4<=X<7,0.000285,'male single',none,0.000143,'no known property',0.001925,none,own,0.000071,'high qualif/self emp/mgmt',0.000071,yes,yes,bad
>=200,0.017416,'existing paid',radio/tv,0.999261,100<=X<500,>=7,0.002903,'female div/dep/mar',none,0.001451,'no known property',0.034107,none,'for free',0.000726,skilled,0.000726,yes,yes,good
<0,0.007278,'existing paid',furniture/equipment,0.999921,<100,unemployed,0.001617,'male single',none,0.000404,car,0.010108,none,own,0.000404,'unemp/unskilled non res',0.000404,none,yes,bad
<0,0.004213,'existing paid',furniture/equipment,0.999921,<100,1<=X<4,0.001404,'male single',none,0.000936,'real estate',0.011703,none,own,0.000468,skilled,0.000468,none,yes,good
<0,0.00851,'critical/other existing credit','used car',0.999223,<100,>=7,0.002837,'male single',none,0.002128,'real estate',0.038295,none,own,0.000709,skilled,0.000709,none,yes,good
<0,0.010446,'existing paid',furniture/equipment,0.99987,<100,>=7,0.001161,'male single',none,0.00058,car,0.012186,none,own,0.00029,skilled,0.00058,none,yes,bad
'no checking',0.004455,'existing paid',radio/tv,0.999497,100<=X<500,>=7,0.001485,'male single',none,0.00297,'no known property',0.031188,bank,'for free',0.000743,skilled,0.001485,yes,yes,good
'no checking',0.009506,'existing paid',radio/tv,0.999754,<100,1<=X<4,0.002377,'male single',none,0.001584,car,0.019805,none,own,0.000792,skilled,0.000792,none,yes,good
<0,0.004464,'critical/other existing credit',education,0.999985,<100,1<=X<4,0.000372,'female div/dep/mar',none,0.000248,'no known property',0.0031,none,own,0.000248,'high qualif/self emp/mgmt',0.000124,yes,yes,bad
0<=X<200,0.005993,'existing paid','new car',0.999866,<100,4<=X<7,0.001498,'male single',none,0.001998,'life insurance',0.014983,none,rent,0.000499,skilled,0.000999,yes,yes,good
<0,0.006246,'all paid',business,0.999969,<100,4<=X<7,0.00026,'female div/dep/mar',guarantor,0.00052,car,0.004814,none,rent,0.00013,skilled,0.00013,none,yes,bad
<0,0.007592,'all paid',business,0.999922,<100,1<=X<4,0.001265,'male single',none,0.000633,'life insurance',0.009806,none,rent,0.000316,skilled,0.000316,yes,yes,bad
<0,0.017511,'existing paid',education,0.998102,<100,1<=X<4,0.005837,'male single',none,0.005837,car,0.058369,none,rent,0.001459,'unskilled resident',0.002918,none,yes,bad
<0,0.010172,'existing paid',furniture/equipment,0.99985,100<=X<500,unemployed,0.000424,'male div/sep',none,0.000424,'life insurance',0.013987,none,own,0.000424,skilled,0.000424,none,yes,bad
<0,0.005341,'critical/other existing credit',furniture/equipment,0.999627,<100,>=7,0.001335,'male single',none,0.001335,'life insurance',0.026704,none,own,0.00089,skilled,0.000445,none,yes,bad
<0,0.015906,'existing paid',furniture/equipment,0.99944,<100,unemployed,0.003535,'female div/dep/mar',none,0.001767,car,0.029161,none,own,0.000884,skilled,0.000884,none,yes,bad
>=200,0.002532,'existing paid','new car',0.999953,<100,<1,0.000253,'male single',guarantor,0.000253,'life insurance',0.009369,none,own,0.000253,'unskilled resident',0.000506,none,yes,good
'no checking',0.00526,'existing paid',furniture/equipment,0.99989,<100,>=7,0.001169,'male single',none,0.001169,'life insurance',0.013733,bank,own,0.000877,skilled,0.000584,yes,yes,good
0<=X<200,0.007494,'existing paid',education,0.998402,<100,4<=X<7,0.003331,'female div/dep/mar',none,0.003331,'life insurance',0.055791,none,own,0.001665,'high qualif/self emp/mgmt',0.000833,yes,yes,good
<0,0.010419,'existing paid','new car',0.999753,<100,>=7,0.001736,'male single','co applicant',0.000434,'real estate',0.019535,none,own,0.000434,skilled,0.000434,none,yes,bad
'no checking',0.006236,'existing paid','used car',0.999968,'no known savings',4<=X<7,0.000416,'female div/dep/mar',none,0.000831,'life insurance',0.004988,stores,rent,0.000208,'unskilled resident',0.000208,none,yes,good
<0,0.007241,'existing paid',furniture/equipment,0.999839,<100,1<=X<4,0.001207,'male single',none,0.001207,'real estate',0.016292,none,own,0.000603,skilled,0.000603,none,yes,good
0<=X<200,0.015892,'existing paid',retraining,0.998574,'no known savings',>=7,0.005297,'male single',none,0.005297,'life insurance',0.050326,none,own,0.002649,skilled,0.001324,none,yes,good
<0,0.014961,'existing paid',radio/tv,0.999293,<100,>=7,0.002494,'female div/dep/mar',none,0.002494,car,0.034286,none,own,0.000623,skilled,0.000623,none,yes,good
'no checking',0.00466,'critical/other existing credit',furniture/equipment,0.999968,<100,>=7,0.000777,'male single',none,0.000777,car,0.006408,none,own,0.000194,skilled,0.000194,yes,yes,good
<0,0.006151,'delayed previously',education,0.999952,<100,<1,0.000586,'male single',none,0.000293,'life insurance',0.007615,none,own,0.000586,skilled,0.000293,none,yes,bad
<0,0.009652,'existing paid',furniture/equipment,0.999903,<100,<1,0.000643,'male div/sep',none,0.001287,'life insurance',0.009973,none,own,0.000322,'unskilled resident',0.000322,none,yes,bad
0<=X<200,0.005281,'existing paid',furniture/equipment,0.999947,'no known savings',4<=X<7,0.000503,'male single',none,0.000754,car,0.008802,none,own,0.000251,skilled,0.000251,yes,yes,good
'no checking',0.003589,'existing paid','new car',0.999785,500<=X<1000,>=7,0.000798,'male single',none,0.001595,'no known property',0.020339,none,'for free',0.000399,'unskilled resident',0.000399,none,yes,good
>=200,0.008159,'existing paid','domestic appliance',0.999508,<100,1<=X<4,0.001632,'male single',none,0.001632,car,0.030189,none,own,0.000816,skilled,0.000816,yes,yes,good
'no checking',0.008958,'existing paid','used car',0.9999,<100,<1,0.001493,'female div/dep/mar',none,0.000373,'no known property',0.010824,none,own,0.000373,'high qualif/self emp/mgmt',0.000373,yes,yes,good
0<=X<200,0.004983,'critical/other existing credit',furniture/equipment,0.999934,<100,>=7,0.000831,'female div/dep/mar',none,0.001107,'life insurance',0.010243,none,own,0.000277,skilled,0.000277,yes,yes,good
>=200,0.00902,'existing paid','new car',0.999763,<100,<1,0.003007,'male single',none,0.000752,'real estate',0.019544,none,own,0.000752,skilled,0.000752,none,yes,good
<0,0.004982,'existing paid','new car',0.999967,<100,4<=X<7,0.000415,'male single','co applicant',0.000623,'life insurance',0.006435,none,own,0.000208,skilled,0.000208,yes,yes,bad
0<=X<200,0.006975,'existing paid',furniture/equipment,0.999891,>=1000,<1,0.002536,'female div/dep/mar',none,0.000634,'real estate',0.012681,none,own,0.000634,skilled,0.000634,none,yes,good
<0,0.010465,'critical/other existing credit',furniture/equipment,0.999786,<100,1<=X<4,0.002791,'female div/dep/mar',none,0.002093,'life insurance',0.017442,none,rent,0.001395,skilled,0.000698,none,yes,good
>=200,0.007872,'existing paid',education,0.999744,<100,>=7,0.002099,'male single',none,0.002099,car,0.020992,none,rent,0.000525,'high qualif/self emp/mgmt',0.000525,yes,yes,good
0<=X<200,0.014732,'critical/other existing credit',radio/tv,0.999528,<100,<1,0.004533,'male single',guarantor,0.004533,'real estate',0.026065,none,own,0.002267,skilled,0.001133,none,yes,good
<0,0.019151,'all paid',radio/tv,0.999039,<100,1<=X<4,0.006384,'female div/dep/mar',none,0.006384,'real estate',0.038302,bank,own,0.001596,'unskilled resident',0.001596,none,yes,bad
'no checking',0.004454,'critical/other existing credit','used car',0.999965,>=1000,>=7,0.000891,'male single',none,0.001188,'no known property',0.006829,none,rent,0.000594,skilled,0.000297,yes,yes,good
<0,0.009045,'existing paid','new car',0.998013,<100,<1,0.004523,'male single',none,0.00603,'real estate',0.06181,none,own,0.001508,'unskilled resident',0.003015,yes,yes,good
>=200,0.011795,'critical/other existing credit',radio/tv,0.999451,'no known savings',1<=X<4,0.002359,'male single',none,0.003145,'no known property',0.030668,none,'for free',0.001573,skilled,0.000786,yes,yes,bad
>=200,0.019055,'existing paid',radio/tv,0.998787,500<=X<1000,1<=X<4,0.002382,'female div/dep/mar',none,0.002382,car,0.045255,none,own,0.000794,'unskilled resident',0.000794,none,yes,good
<0,0.005657,'critical/other existing credit','new car',0.999881,<100,1<=X<4,0.001886,'male single',none,0.000943,'life insurance',0.014143,none,own,0.000943,skilled,0.000471,none,yes,good
>=200,0.007184,'existing paid','new car',0.999928,100<=X<500,1<=X<4,0.000342,'female div/dep/mar',none,0.000342,car,0.009579,bank,own,0.000342,'high qualif/self emp/mgmt',0.000342,yes,yes,good
>=200,0.008551,'existing paid',radio/tv,0.999944,<100,1<=X<4,0.00095,'male single',none,0.000475,car,0.006175,none,own,0.000238,skilled,0.000238,none,yes,bad
0<=X<200,0.013498,'existing paid','new car',0.998821,<100,>=7,0.004499,'male single',none,0.004499,car,0.046117,bank,own,0.001125,'unskilled resident',0.00225,none,yes,bad
'no checking',0.015459,'existing paid',radio/tv,0.999665,<100,4<=X<7,0.001932,'male single',none,0.000644,car,0.020612,bank,own,0.000644,skilled,0.001288,none,yes,good
>=200,0.006355,'critical/other existing credit','used car',0.999863,500<=X<1000,1<=X<4,0.000847,'male single',none,0.000847,car,0.015252,none,own,0.000424,skilled,0.000424,yes,yes,good
>=200,0.012071,'existing paid',radio/tv,0.999208,<100,1<=X<4,0.004024,'female div/dep/mar',none,0.002682,'real estate',0.037554,none,own,0.001341,'unskilled resident',0.001341,none,yes,bad
'no checking',0.009999,'critical/other existing credit',radio/tv,0.999857,<100,1<=X<4,0.002222,'male single',none,0.001111,car,0.013331,none,own,0.001111,skilled,0.000555,none,yes,good
'no checking',0.003221,'existing paid','used car',0.999974,<100,1<=X<4,0.000644,'male single',none,0.000429,car,0.006442,none,own,0.000215,skilled,0.000215,yes,yes,good
<0,0.003108,'existing paid',furniture/equipment,0.999988,'no known savings',<1,0.00013,'female div/dep/mar',none,0.000259,'life insurance',0.003885,none,own,0.00013,skilled,0.00013,yes,no,good
>=200,0.012773,'critical/other existing credit','new car',0.999457,500<=X<1000,4<=X<7,0.004258,'male mar/wid',none,0.002129,'real estate',0.029803,none,own,0.003193,skilled,0.001064,yes,yes,bad
'no checking',0.009743,'critical/other existing credit','new car',0.99989,100<=X<500,4<=X<7,0.001624,'male mar/wid',none,0.001218,'life insurance',0.010961,none,own,0.000812,skilled,0.000406,yes,yes,good
'no checking',0.005328,'existing paid','used car',0.999943,'no known savings',1<=X<4,0.000592,'male single',none,0.000296,'life insurance',0.009177,none,own,0.000296,skilled,0.000296,yes,yes,good
'no checking',0.006204,'critical/other existing credit','used car',0.999924,<100,>=7,0.001034,'female div/dep/mar',none,0.000517,car,0.010599,none,rent,0.000517,'high qualif/self emp/mgmt',0.000259,yes,yes,good
<0,0.01552,'all paid',radio/tv,0.999752,<100,4<=X<7,0.002587,'male single',guarantor,0.002587,car,0.01552,bank,rent,0.000647,'unskilled resident',0.000647,none,yes,bad
<0,0.015728,'existing paid','domestic appliance',0.999718,<100,1<=X<4,0.000983,'male single',none,0.001311,car,0.017694,none,own,0.000328,skilled,0.000328,none,yes,bad
'no checking',0.008298,'delayed previously',business,0.99988,<100,1<=X<4,0.001844,'male mar/wid',none,0.000922,car,0.012908,none,own,0.000461,skilled,0.000461,yes,yes,bad
<0,0.006769,'existing paid',furniture/equipment,0.99992,>=1000,1<=X<4,0.001504,'male single',none,0.000752,car,0.010529,none,own,0.000376,skilled,0.000376,none,yes,good
<0,0.006951,'existing paid',furniture/equipment,0.99996,<100,4<=X<7,0.000772,'male single',none,0.000386,'life insurance',0.005599,none,own,0.000193,skilled,0.000193,none,yes,bad
<0,0.007708,'critical/other existing credit',furniture/equipment,0.999955,500<=X<1000,1<=X<4,0.000234,'female div/dep/mar',none,0.000934,car,0.005372,none,own,0.000467,skilled,0.000234,none,yes,bad
0<=X<200,0.009264,'existing paid','new car',0.999767,<100,<1,0.002316,'female div/dep/mar',none,0.000772,car,0.019301,none,rent,0.000772,skilled,0.000772,none,yes,bad
0<=X<200,0.003316,'delayed previously',education,0.999991,100<=X<500,4<=X<7,0.00017,'male single',none,0.000255,'no known property',0.002721,none,rent,0.000085,skilled,0.000085,yes,yes,good
'no checking',0.010146,'delayed previously',radio/tv,0.999693,<100,1<=X<4,0.002706,'male mar/wid',none,0.002029,'real estate',0.022321,bank,own,0.001353,skilled,0.000676,none,yes,good
<0,0.004931,'existing paid',furniture/equipment,0.999969,<100,<1,0.000274,'female div/dep/mar',none,0.001096,car,0.006027,none,rent,0.000274,skilled,0.000274,none,yes,good
0<=X<200,0.008435,'no credits/all paid','new car',0.999856,<100,<1,0.001125,'female div/dep/mar',none,0.000562,'real estate',0.014621,none,rent,0.001125,'unemp/unskilled non res',0.000562,none,yes,bad
'no checking',0.00259,'critical/other existing credit',radio/tv,0.999623,<100,4<=X<7,0.001295,'male single',none,0.000647,'real estate',0.027192,none,own,0.001942,'unskilled resident',0.001295,none,yes,good
'no checking',0.002775,'delayed previously',business,0.999991,<100,<1,0.000231,'male single',none,0.000231,car,0.003122,bank,own,0.000231,skilled,0.000116,yes,yes,bad
<0,0.003808,'no credits/all paid',business,0.99999,<100,>=7,0.000169,'male single',none,0.000339,car,0.002454,none,rent,0.000169,skilled,0.000085,none,yes,bad
'no checking',0.003899,'existing paid',education,0.999329,<100,<1,0.00065,'female div/dep/mar',none,0.0013,'no known property',0.036386,none,own,0.00065,skilled,0.00065,none,yes,good
'no checking',0.002567,'existing paid','used car',0.999987,'no known savings',<1,0.000214,'female div/dep/mar',none,0.000856,car,0.004278,none,rent,0.000214,skilled,0.000214,none,yes,good
'no checking',0.003481,'all paid',retraining,0.999941,500<=X<1000,1<=X<4,0.00116,'female div/dep/mar',none,0.00087,'real estate',0.010153,none,own,0.00029,'unskilled resident',0.00058,none,yes,good
'no checking',0.007487,'critical/other existing credit',radio/tv,0.999912,<100,1<=X<4,0.000832,'female div/dep/mar',none,0.000832,car,0.010814,none,own,0.000832,skilled,0.000416,none,yes,good
<0,0.008743,'existing paid','new car',0.999614,<100,4<=X<7,0.001457,'male div/sep',none,0.002186,car,0.026229,none,own,0.000729,skilled,0.000729,none,yes,bad
'no checking',0.007837,'existing paid',furniture/equipment,0.999913,500<=X<1000,>=7,0.001306,'male single',none,0.00098,'no known property',0.01045,none,rent,0.000327,skilled,0.000327,yes,yes,good
'no checking',0.013539,'existing paid',radio/tv,0.999614,'no known savings',1<=X<4,0.004513,'female div/dep/mar',none,0.002256,car,0.023693,none,own,0.001128,skilled,0.001128,none,yes,good
'no checking',0.009484,'critical/other existing credit',business,0.998929,'no known savings',>=7,0.003161,'male single',none,0.003161,'no known property',0.045047,none,rent,0.00079,'unskilled resident',0.00079,none,yes,good
<0,0.003215,'critical/other existing credit','new car',0.999911,<100,1<=X<4,0.000714,'male single',none,0.000714,'real estate',0.012861,none,rent,0.000714,skilled,0.000714,none,yes,good
<0,0.015378,'critical/other existing credit',furniture/equipment,0.999544,<100,1<=X<4,0.00205,'male div/sep',none,0.003076,'life insurance',0.025629,none,own,0.00205,skilled,0.001025,none,yes,good
0<=X<200,0.004249,'existing paid',radio/tv,0.999837,<100,1<=X<4,0.000944,'male single',none,0.000944,'real estate',0.017466,none,own,0.000472,'unskilled resident',0.000944,none,yes,good
0<=X<200,0.005616,'existing paid',radio/tv,0.999625,<100,>=7,0.003744,'male single',none,0.003744,car,0.026207,none,own,0.000936,skilled,0.001872,none,yes,good
<0,0.006669,'critical/other existing credit',education,0.999967,<100,1<=X<4,0.000667,'male single',none,0.0005,'no known property',0.004501,bank,own,0.000167,skilled,0.000167,yes,yes,bad
'no checking',0.006645,'existing paid',radio/tv,0.999892,'no known savings',>=7,0.001266,'male single',none,0.000949,'life insurance',0.012973,none,own,0.000316,skilled,0.000316,yes,yes,good
'no checking',0.005302,'critical/other existing credit',business,0.999852,<100,1<=X<4,0.000663,'male single',none,0.000442,'real estate',0.016348,none,own,0.000221,'high qualif/self emp/mgmt',0.000221,yes,yes,good
<0,0.004724,'existing paid',furniture/equipment,0.999977,'no known savings',>=7,0.00063,'male single',none,0.00063,'life insurance',0.004882,none,own,0.000157,skilled,0.000157,none,yes,bad
<0,0.009665,'all paid',furniture/equipment,0.999911,500<=X<1000,1<=X<4,0.001611,'male single',none,0.001611,'real estate',0.008859,stores,own,0.000403,skilled,0.000403,yes,yes,good
0<=X<200,0.003253,'no credits/all paid','used car',0.999982,100<=X<500,>=7,0.000488,'male mar/wid',none,0.000651,car,0.005042,bank,own,0.000325,skilled,0.000163,yes,yes,good
'no checking',0.011761,'critical/other existing credit','new car',0.999708,<100,1<=X<4,0.00196,'male single',none,0.001307,'life insurance',0.020909,bank,own,0.001307,skilled,0.000653,none,yes,bad
